time,subsystem,contract_id,message
1210.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1215.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1220.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1225.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1230.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1235.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1240.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1245.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1250.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1255.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1260.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1265.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1270.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1275.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1280.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1285.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1330.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1335.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1340.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1345.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1350.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1355.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1360.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1365.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1370.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1375.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1380.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1385.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1390.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1395.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1400.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1405.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1410.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1415.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1420.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1425.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1430.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1475.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1480.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1485.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1490.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1495.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1500.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1505.0,Rudder,G1,Rudder angle exceeds mechanical limits.
1510.0,Rudder,G1,Rudder angle exceeds mechanical limits.
